topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Oscillations and Waves,Electromagnetic Waves. Radiation,Space density of electromagnetic energy,w = \frac{\mathrm{ED}}{2} + \frac{\mathrm{BH}}{2},Space density of the energy of an electromagnetic field,"The total energy density 'w' of an electromagnetic field is equal to half the product of the electric field 'E' and electric displacement field 'D', plus half the product of the magnetic field 'B' and magnetic field strength 'H'.","This formula gives the total energy stored per unit volume (energy density) in an electromagnetic field. The first term represents the energy density associated with the electric field, and the second term represents the energy density associated with the magnetic field. It's used to quantify the energy stored in electric and magnetic fields in a given region of space.","Eq(w, (E * D) / 2 + (B * H) / 2)"
Oscillations and Waves,Electromagnetic Waves. Radiation,Poynting vector,\mathrm{S} = [\mathrm{EH}],"Flow density of electromagnetic energy, the Poynting vector",The Poynting vector 'S' is equal to the cross product of the electric field vector 'E' and the magnetic field vector 'H'.,"The Poynting vector describes the directional energy flux (power per unit area) of an electromagnetic field. Its magnitude represents the rate of energy flow per unit area, and its direction indicates the direction of energy propagation. The notation '[EH]' commonly denotes the vector cross product E x H. It is crucial for understanding energy transfer in electromagnetic waves and circuits.","Eq(S, cross(E, H))"
Oscillations and Waves,Electromagnetic Waves. Radiation,Energy flow density of electric dipole radiation (far field),S \sim \frac{1}{r^{2}} \sin^{2} \theta,Energy flow density of electric dipole radiation in a far field zone,"The energy flow density 'S' of electric dipole radiation is proportional to one over the square of the distance 'r' from the dipole, multiplied by the square of the sine of the angle 'theta' relative to the dipole axis.",This formula describes the angular and radial dependence of the power radiated by an oscillating electric dipole in the far-field region. It shows that the radiation intensity decreases with the square of the distance ('1/r^2') and is strongest perpendicular to the dipole axis ('sin^2 theta'). It's used to characterize the radiation pattern of antennas or other oscillating charge distributions.,"Eq(S, k * (1 / r**2) * sin(theta)**2)"
Optics,Interference of Light,Width of a fringe,\Delta x = \frac{l}{d} \lambda,"where $l$ is the distance from the sources to the screen, $d$ is the distance between the sources.","The fringe width is equal to the distance from sources to screen divided by the distance between sources, all multiplied by the wavelength.","This formula describes the width of interference fringes in a Young's double-slit experiment or similar setup. It's used to calculate the spacing between bright or dark fringes on a screen, given the wavelength of light, the distance to the screen, and the separation of the sources.","Eq(Delta_x, (l/d) * lambda_)"
Optics,Interference of Light,Coherence length,l_{coh} \simeq \frac{\lambda^2}{\Delta \lambda},,The coherence length is approximately equal to the square of the wavelength divided by the spectral linewidth.,"This formula estimates the coherence length of a light source, which is the maximum path difference between two light waves for them to still interfere. It's inversely proportional to the spectral linewidth (Δλ) and directly proportional to the square of the central wavelength (λ). Used in optics to characterize the temporal coherence of light.","Eq(l_coh, (lambda_**2) / Delta_lambda)"
Optics,Interference of Light,Coherence radius,\rho_{coh} \simeq \frac{\lambda}{\psi},where $\psi$ is the angular dimension of the source.,The coherence radius is approximately equal to the wavelength divided by the angular dimension of the source.,"This formula estimates the coherence radius (or spatial coherence length) of a light source, which is the maximum transverse separation between two points on a wavefront for them to still interfere. It's inversely proportional to the angular size (ψ) of the source and directly proportional to the wavelength (λ). Used in optics to characterize the spatial coherence of light.","Eq(rho_coh, lambda_ / psi)"
Optics,Interference of Light,Interference maxima condition (thin film),2b \sqrt{n^2 - \sin^2 \theta_1} = (k + 1/2) \lambda,where $k$ is an integer.,"Twice the thickness of the plate times the square root of the refractive index squared minus the sine squared of the incident angle is equal to the quantity k plus one-half, all multiplied by the wavelength.","This equation describes the condition for constructive interference (maxima) when light is reflected from a thin film of thickness 'b' and refractive index 'n'. The term '(k + 1/2)λ' accounts for the phase shift upon reflection and the path difference, where 'k' is an integer. It's used to analyze thin-film interference phenomena like soap bubbles or anti-reflective coatings.","Eq(2*b*sqrt(n**2 - sin(theta_1)**2), (k + S(1)/2) * lambda_)"
Optics,Interference of Light,Radii of Newton's rings,r = \sqrt{\lambda R k / 2},"with the rings being bright if $k = 1, 3, 5, \dots$, and dark if $k = 2, 4, 6, \dots$ The value $k = 0$ corresponds to the middle of the central dark spot.","The radius of a Newton's ring is equal to the square root of the product of wavelength, lens radius, and integer k, all divided by two.","This formula calculates the radii of Newton's rings, which are interference patterns formed when a plano-convex lens is placed on a flat glass surface, creating a thin air film. 'R' is the radius of curvature of the lens, 'λ' is the wavelength of light, and 'k' is an integer representing the order of the ring. The value of 'k' determines whether the ring is bright or dark, depending on the phase shift at reflection.","Eq(r, sqrt(lambda_ * R * k / 2))"
Optics,Diffraction of Light,"Fraunhofer Diffraction Minima (Single Slit, Positive Order)",b \sin \theta = k\lambda,"Condition of intensity minima for Fraunhofer diffraction from a slit. b is the width of the slit, \(\theta\) is the diffraction angle. k = 1, 2, 3, \ldots.",The product of the slit width and the sine of the diffraction angle equals a positive integer multiple of the wavelength.,"This equation describes the angles at which destructive interference (intensity minima) occurs for Fraunhofer diffraction from a single slit, specifically for positive diffraction angles. 'k' represents the order of the minimum. It's used to determine the diffraction pattern produced by a single slit.","Eq(b * sin(theta), k * Lambda)"
Optics,Diffraction of Light,"Fraunhofer Diffraction Minima (Single Slit, Negative Order)",b \sin \theta = -k\lambda,"Condition of intensity minima for Fraunhofer diffraction from a slit. b is the width of the slit, \(\theta\) is the diffraction angle. k = 1, 2, 3, \ldots.",The product of the slit width and the sine of the diffraction angle equals a negative integer multiple of the wavelength.,"This equation describes the angles at which destructive interference (intensity minima) occurs for Fraunhofer diffraction from a single slit, specifically for negative diffraction angles. 'k' represents the order of the minimum. It's used to determine the diffraction pattern produced by a single slit.","Eq(b * sin(theta), -k * Lambda)"
Optics,Diffraction of Light,Diffraction Grating Maxima (Positive Order),d \sin \theta = k\lambda,"The main Fraunhofer maxima appear under this condition for a diffraction grating with light falling normally. k = 0, 1, 2, \ldots.",The product of the grating spacing and the sine of the diffraction angle equals a non-negative integer multiple of the wavelength.,"This equation gives the angles at which constructive interference (main maxima) occurs for a diffraction grating, for positive diffraction angles. 'd' is the spacing between grating lines, and 'k' is the order of the maximum. It's fundamental for understanding grating spectroscopy.","Eq(d * sin(theta), k * Lambda)"
Optics,Diffraction of Light,Diffraction Grating Maxima (Negative Order),d \sin \theta = -k\lambda,"The main Fraunhofer maxima appear under this condition for a diffraction grating with light falling normally. k = 0, 1, 2, \ldots.",The product of the grating spacing and the sine of the diffraction angle equals a non-positive integer multiple of the wavelength.,"This equation gives the angles at which constructive interference (main maxima) occurs for a diffraction grating, for negative diffraction angles. 'd' is the spacing between grating lines, and 'k' is the order of the maximum. It's fundamental for understanding grating spectroscopy.","Eq(d * sin(theta), -k * Lambda)"
Optics,Diffraction of Light,Diffraction Grating Additional Minima (Positive Order),d \sin \theta = \frac{k'}{N} \lambda,"Condition of additional minima for a diffraction grating. k' = 1, 2, \ldots, except for 0, N, 2N, \ldots.","The product of the grating spacing and the sine of the diffraction angle equals a specific fractional multiple of the wavelength, where the fraction depends on k' and the number of lines N.","This equation describes the angles of the secondary (additional) minima that appear between the main maxima in the diffraction pattern of a grating, for positive diffraction angles. 'N' is the total number of lines in the grating, and 'k'' specifies the order of these minima, excluding those that coincide with main maxima.","Eq(d * sin(theta), (k_prime / N) * Lambda)"
Optics,Diffraction of Light,Diffraction Grating Additional Minima (Negative Order),d \sin \theta = -\frac{k'}{N} \lambda,"Condition of additional minima for a diffraction grating. k' = 1, 2, \ldots, except for 0, N, 2N, \ldots.","The product of the grating spacing and the sine of the diffraction angle equals a negative specific fractional multiple of the wavelength, where the fraction depends on k' and the number of lines N.","This equation describes the angles of the secondary (additional) minima that appear between the main maxima in the diffraction pattern of a grating, for negative diffraction angles. 'N' is the total number of lines in the grating, and 'k'' specifies the order of these minima, excluding those that coincide with main maxima.","Eq(d * sin(theta), -(k_prime / N) * Lambda)"
Optics,Diffraction of Light,Angular Dispersion Definition,D = \frac{\delta\theta}{\delta\lambda},Angular dispersion of a diffraction grating.,Angular dispersion is the ratio of the change in diffraction angle to the change in wavelength.,"This defines the angular dispersion of a diffraction grating, which quantifies how much the diffraction angle changes for a small change in wavelength. It indicates the ability of the grating to separate different wavelengths.","Eq(D, delta_theta / delta_Lambda)"
Optics,Diffraction of Light,Angular Dispersion (Grating Formula),D = \frac{k}{d \cos \theta},Angular dispersion of a diffraction grating.,Angular dispersion equals the diffraction order divided by the product of the grating spacing and the cosine of the diffraction angle.,This formula provides a practical way to calculate the angular dispersion of a diffraction grating. It shows that dispersion increases with the order of diffraction ('k') and decreases with grating spacing ('d') and the cosine of the diffraction angle ('\theta').,"Eq(D, k / (d * cos(theta)))"
Optics,Diffraction of Light,Resolving Power Definition,R = \frac{\lambda}{\delta\lambda},Resolving power of a diffraction grating.,Resolving power is the ratio of the wavelength to the smallest resolvable wavelength difference.,"This defines the resolving power of an optical instrument, such as a diffraction grating, which measures its ability to distinguish between two closely spaced wavelengths. A higher 'R' means better resolution.","Eq(R, Lambda / delta_Lambda)"
Optics,Diffraction of Light,Resolving Power (Grating Formula),R = kN,"Resolving power of a diffraction grating, where N is the number of lines of the grating.",Resolving power equals the product of the diffraction order and the total number of lines in the grating.,This formula calculates the resolving power of a diffraction grating based on the diffraction order ('k') and the total number of illuminated lines ('N'). It shows that higher orders and more lines lead to better resolution.,"Eq(R, k * N)"
Optics,Diffraction of Light,Resolving Power of Objective (Angular Definition),R = \frac{1}{\delta\psi},"Resolving power of an objective, where \(\delta\psi\) is the least angular separation resolved by the objective.",Resolving power is the reciprocal of the least angular separation resolved by the objective.,"This defines the angular resolving power of an objective lens, indicating its ability to distinguish between two closely spaced point sources. A smaller '\delta\psi' (better resolution) results in a larger 'R'.","Eq(R, 1 / delta_psi)"
Optics,Diffraction of Light,Resolving Power of Objective (Rayleigh Criterion),R = \frac{D}{1.22\lambda},"Resolving power of an objective, where D is the diameter of the objective.",Resolving power equals the diameter of the objective divided by the product of 1.22 and the wavelength.,"This formula, derived from the Rayleigh criterion, calculates the angular resolving power of a circular objective lens. It shows that larger objective diameters ('D') and shorter wavelengths ('\lambda') lead to better resolution. The factor 1.22 arises from the diffraction pattern of a circular aperture.","Eq(R, D / (1.22 * Lambda))"
Optics,Diffraction of Light,Bragg's Equation (Positive Order),2d \sin \alpha = k\lambda,"Bragg's equation. The condition of diffraction maxima. d is the interplanar distance, \(\alpha\) is the glancing angle, k = 1, 2, 3, \ldots.",Twice the interplanar distance times the sine of the glancing angle equals a positive integer multiple of the wavelength.,"This equation describes the condition for constructive interference (diffraction maxima) when X-rays are scattered by crystal planes, for positive glancing angles. It's fundamental in X-ray crystallography for determining crystal structures. 'k' is the order of diffraction.","Eq(2 * d * sin(alpha), k * Lambda)"
Optics,Diffraction of Light,Bragg's Equation (Negative Order),2d \sin \alpha = -k\lambda,"Bragg's equation. The condition of diffraction maxima. d is the interplanar distance, \(\alpha\) is the glancing angle, k = 1, 2, 3, \ldots.",Twice the interplanar distance times the sine of the glancing angle equals a negative integer multiple of the wavelength.,"This equation describes the condition for constructive interference (diffraction maxima) when X-rays are scattered by crystal planes, for negative glancing angles. It's fundamental in X-ray crystallography for determining crystal structures. 'k' is the order of diffraction.","Eq(2 * d * sin(alpha), -k * Lambda)"
Optics,Thermal Radiation. Quantum Nature of Light,Compton Shift,\Delta\lambda = 2\pi\lambda_C (1 - \cos \theta),"Change in wavelength in the Compton effect, where \(\lambda_C\) is the Compton wavelength.",The change in wavelength is equal to two pi times the Compton wavelength times the quantity one minus the cosine of the scattering angle.,"This formula describes the change in wavelength of a photon after scattering off a charged particle (typically an electron), known as the Compton effect. It shows how the wavelength shift depends on the scattering angle (\(\theta\)) and the Compton wavelength (\(\lambda_C\)) of the particle. It is used to explain the particle-like nature of light and the energy loss of photons during scattering.","Eq(Delta_lambda, 2*pi*lambda_C * (1 - cos(theta)))"
Optics,Thermal Radiation. Quantum Nature of Light,Compton Wavelength,\lambda_C = \hbar/mc,Compton's wavelength.,Compton's wavelength is equal to the reduced Planck constant divided by the mass of the particle times the speed of light.,"This formula defines the Compton wavelength (\(\lambda_C\)), a quantum mechanical property of a particle. It represents the wavelength of a photon whose energy is equivalent to the rest mass energy of the particle. It is a characteristic length scale at which quantum relativistic effects become significant for a particle, often used in high-energy physics.","Eq(lambda_C, hbar / (m * c))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Alkali Atom Term Energy,T = \frac {R}{(n + \alpha) ^ {2}},"where $R$ is the Rydberg constant, $\alpha$ is the Rydberg correction.",The term energy T is equal to the Rydberg constant R divided by the square of the principal quantum number n plus the Rydberg correction alpha.,"This formula describes the energy levels (terms) of alkali metal atoms, which have a single valence electron outside a closed shell. The Rydberg correction ($\alpha$) accounts for the penetration of the valence electron into the inner electron shells, causing a deviation from the simple hydrogenic energy levels. It's used to calculate the energy of specific electronic states.","Eq(T, R / (n + alpha)**2)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Orbital Angular Momentum Magnitude,M _ {L} = \hbar \sqrt {L (L + 1)},with similar expressions for $M_S$ and $M_J$.,The magnitude of the orbital angular momentum M_L is equal to Planck's constant h-bar times the square root of L times L plus one.,"This formula gives the magnitude of the total orbital angular momentum of an electron in an atom, where L is the orbital angular momentum quantum number. Similar formulas exist for spin angular momentum ($M_S$) and total angular momentum ($M_J$), using the corresponding quantum numbers S and J. It's fundamental in atomic spectroscopy to characterize electron states.","Eq(M_L, hbar * sqrt(L * (L + 1)))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,"Total Angular Momentum (Hund's Rule, less than half-filled)",J = |L - S|,for the basic (normal) term if the subshell is less than halffilled,The total angular momentum quantum number J is the absolute difference between the orbital angular momentum L and the spin angular momentum S.,"This part of Hund's third rule determines the total angular momentum quantum number J for the ground state term when the electron subshell is less than half-filled. It states that J takes the minimum possible value, which is $|L-S|$. This rule helps predict the ground state of atoms.","Eq(J, Abs(L - S))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,"Total Angular Momentum (Hund's Rule, half-filled or more)",J = L + S,for the basic (normal) term in the remaining cases (half-filled or more),The total angular momentum quantum number J is the sum of the orbital angular momentum L and the spin angular momentum S.,"This part of Hund's third rule determines the total angular momentum quantum number J for the ground state term when the electron subshell is half-filled or more. It states that J takes the maximum possible value, which is $L+S$. This rule helps predict the ground state of atoms.","Eq(J, L + S)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Boltzmann Distribution,\frac {N _ {2}}{N _ {1}} = \frac {g _ {2}}{g _ {1}} \mathrm {e} ^ {- (E _ {2} - E _ {1}) / \hbar T},where $g_{1}$ and $g_{2}$ are the statistical weights (degeneracies) of the corresponding levels.,"The ratio of the number of particles in state 2 to state 1 is equal to the ratio of their degeneracies times e to the power of negative the energy difference between state 2 and state 1, divided by Planck's constant h-bar times temperature T.","This formula describes the relative populations of two energy levels ($E_1$, $E_2$) in a system in thermal equilibrium at temperature T. $N_1$ and $N_2$ are the number of particles in each state, and $g_1$ and $g_2$ are their degeneracies. The term $\hbar T$ in the denominator is typically $k_B T$ (Boltzmann constant times temperature) in the standard Boltzmann distribution, representing thermal energy. It's widely used in statistical mechanics and spectroscopy to understand how energy levels are populated.","Eq(N2 / N1, (g2 / g1) * exp(-(E2 - E1) / (hbar * T)))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Spontaneous Emission Probability,P _ {2 1} ^ {s p} = A _ {2 1},"Probability of spontaneous radiation, where $A_{21}$ is an Einstein coefficient.",The probability of spontaneous emission from level 2 to level 1 is equal to the Einstein coefficient A_21.,"This formula defines the probability per unit time for an atom to spontaneously transition from a higher energy level (2) to a lower energy level (1), emitting a photon. $A_{21}$ is the Einstein coefficient for spontaneous emission, which is an intrinsic property of the transition. It's crucial in understanding natural light emission processes.","Eq(P_sp_21, A_21)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Induced Emission Probability,P _ {2 1} ^ {i n d} = B _ {2 1} u _ {\omega},"Probability of induced radiation, where $B_{21}$ is an Einstein coefficient and $u_{\omega}$ is the spectral density of radiation.",The probability of induced emission from level 2 to level 1 is equal to the Einstein coefficient B_21 times the spectral density of radiation u_omega.,"This formula describes the probability per unit time for an atom in a higher energy level (2) to be stimulated by incident radiation of spectral density $u_{\omega}$ to transition to a lower energy level (1), emitting a photon coherent with the incident radiation. $B_{21}$ is the Einstein coefficient for induced emission. This process is fundamental to lasers.","Eq(P_ind_21, B_21 * u_omega)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Absorption Probability,P _ {1 2} ^ {a b s} = B _ {1 2} u _ {\omega},"Probability of absorption, where $B_{12}$ is an Einstein coefficient and $u_{\omega}$ is the spectral density of radiation.",The probability of absorption from level 1 to level 2 is equal to the Einstein coefficient B_12 times the spectral density of radiation u_omega.,"This formula describes the probability per unit time for an atom in a lower energy level (1) to absorb a photon from incident radiation of spectral density $u_{\omega}$ and transition to a higher energy level (2). $B_{12}$ is the Einstein coefficient for absorption. This process is key to understanding how matter interacts with light, leading to absorption spectra.","Eq(P_abs_12, B_12 * u_omega)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Einstein B-coefficient Relation,g _ {1} B _ {1 2} = g _ {2} B _ {2 1},"Relation between Einstein coefficients $B_{12}$ and $B_{21}$, where $g_1, g_2$ are statistical weights.",The statistical weight of level 1 times the Einstein B-coefficient for absorption from 1 to 2 is equal to the statistical weight of level 2 times the Einstein B-coefficient for induced emission from 2 to 1.,"This relation connects the Einstein B-coefficients for absorption ($B_{12}$) and induced emission ($B_{21}$) between two energy levels (1 and 2), taking into account their statistical weights ($g_1$ and $g_2$). It implies that if the degeneracies are equal, the probabilities for absorption and induced emission are the same. This is derived from thermodynamic equilibrium considerations.","Eq(g1 * B_12, g2 * B_21)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Einstein A-B Coefficient Relation,B _ {2 1} = \frac {\pi^ {2} c ^ {3}}{\hbar \omega^ {3}} A _ {2 1},"Relation between Einstein coefficients $B_{21}$ and $A_{21}$, where $c$ is the speed of light, $\hbar$ is the reduced Planck constant, and $\omega$ is the transition frequency.","The Einstein B-coefficient for induced emission from 2 to 1 is equal to pi squared times the speed of light cubed, divided by Planck's constant h-bar times the transition frequency cubed, all multiplied by the Einstein A-coefficient for spontaneous emission from 2 to 1.",This fundamental relation links the Einstein coefficient for induced emission ($B_{21}$) to the Einstein coefficient for spontaneous emission ($A_{21}$) for a transition between levels 2 and 1. It shows that spontaneous emission is inherently related to the ability of a system to undergo induced emission. This relation is crucial for understanding the balance between these processes in thermal equilibrium and for laser physics.,"Eq(B_21, (pi**2 * c**3) / (hbar * omega**3) * A_21)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Moseley's Law for K-alpha,\omega_ {K _ {\alpha}} = \frac {3}{4} R (Z - \sigma) ^ {2},"Moseley's law for K-alpha lines, where R is the Rydberg constant, Z is the atomic number, and $\sigma$ is the screening constant.",The frequency of the K-alpha X-ray line is equal to three-fourths times the Rydberg constant times the square of the atomic number Z minus the screening constant sigma.,"Moseley's law describes the characteristic X-ray frequencies emitted by elements. Specifically for K-alpha lines, it relates the frequency ($\omega_{K_{\alpha}}$) to the atomic number (Z) and a screening constant ($\sigma$). This law was crucial in establishing the concept of atomic number as a fundamental property of an element and for ordering elements in the periodic table.","Eq(omega_K_alpha, (S(3)/4) * R * (Z - sigma)**2)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Magnetic moment of an atom,\mu = g \sqrt{J(J+1)} \mu_B,Magnetic moment of an atom and Landé g factor,"The magnetic moment of an atom is equal to the Landé g-factor times the square root of J times J plus one, all multiplied by the Bohr magneton.","This formula calculates the magnetic dipole moment of an atom, which arises from the orbital and spin angular momenta of its electrons. It's used in atomic physics to understand how atoms interact with magnetic fields, particularly in phenomena like the Zeeman effect.","Eq(mu, g * sqrt(J * (J + 1)) * mu_B)"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Landé g-factor,g = 1 + \frac{J(J+1) + S(S+1) - L(L+1)}{2J(J+1)},Magnetic moment of an atom and Landé g factor,"The Landé g-factor is equal to one plus the quantity of J times J plus one, plus S times S plus one, minus L times L plus one, all divided by two times J times J plus one.","This formula defines the Landé g-factor, a dimensionless quantity that relates the magnetic moment of an atom to its total angular momentum quantum number J. It accounts for the contributions of orbital (L) and spin (S) angular momenta to the atom's magnetic moment and is crucial for analyzing the Zeeman effect and other magnetic interactions.","Eq(g, 1 + (J * (J + 1) + S * (S + 1) - L * (L + 1)) / (2 * J * (J + 1)))"
Atomic and Nuclear Physics,Properties of Atoms. Spectra,Zeeman splitting of spectral lines,\Delta\omega = (m_1g_1 - m_2g_2) \mu_B B/\hbar,Zeeman splitting of spectral lines in a weak magnetic field,"The change in angular frequency is equal to the difference between m-one g-one and m-two g-two, all multiplied by the Bohr magneton, the magnetic field strength, and divided by the reduced Planck constant.","This formula describes the energy splitting (expressed as a change in angular frequency) of atomic spectral lines when an atom is placed in a weak external magnetic field, known as the Zeeman effect. It quantifies how the magnetic field interacts with the atom's magnetic moment, leading to multiple closely spaced lines instead of a single one.","Eq(Delta_omega, (m1 * g1 - m2 * g2) * mu_B * B / hbar)"
Atomic and Nuclear Physics,Molecules and Crystals,Rotational Energy of a Rigid Rotor,E _ {J} = \frac {\hbar^ {2}}{2 I} J (J + 1),,"The rotational energy of a molecule is equal to Planck's constant squared divided by twice the moment of inertia, multiplied by the rotational quantum number J times J plus one.","This formula describes the rotational energy levels of a rigid rotor, such as a diatomic molecule. J is the rotational quantum number, I is the moment of inertia, and ħ is the reduced Planck constant. It's fundamental in rotational spectroscopy to understand molecular rotations.","Eq(E_J, (hbar**2 / (2 * I)) * J * (J + 1))"
Atomic and Nuclear Physics,Molecules and Crystals,Rotational Energy of a Rigid Rotor,E _ {J} = \frac {\hbar^ {2}}{2 I} J (J + 1),,"The rotational energy of a molecule is equal to Planck's constant squared divided by twice the moment of inertia, multiplied by the rotational quantum number J times J plus one.","This formula describes the rotational energy levels of a rigid rotor, such as a diatomic molecule. J is the rotational quantum number, I is the moment of inertia, and ħ is the reduced Planck constant. It's fundamental in rotational spectroscopy to understand molecular rotations.","Eq(E_J, (hbar**2 / (2 * I)) * J * (J + 1))"
Atomic and Nuclear Physics,Molecules and Crystals,Vibrational Energy of a Harmonic Oscillator,E _ {v} = \hbar \omega \left(v + \frac {1}{2}\right),,"The vibrational energy of a molecule is equal to Planck's constant divided by two pi, multiplied by the angular frequency, times the vibrational quantum number v plus one half.","This formula describes the vibrational energy levels of a quantum harmonic oscillator, a common model for molecular vibrations. Here, v is the vibrational quantum number, ħ is the reduced Planck constant, and ω is the angular frequency of the vibration. It notably shows the existence of a non-zero zero-point energy (when v=0).","Eq(E_v, hbar * omega * (v + S(1)/2))"
Atomic and Nuclear Physics,Nuclear Reactions,Binding Energy (Mass Defect Method),E_b = Z m_{\mathbf{H}} + (A - Z) m_n - M,"Z is charge, A is mass number. $m_{\mathbf{H}}, m_n, M$ are masses of hydrogen atom, neutron, and the given atom, respectively.","The binding energy of a nucleus is the sum of the mass of Z hydrogen atoms and A minus Z neutrons, minus the mass of the actual atom.",This formula calculates the binding energy of an atomic nucleus based on the mass defect. It represents the energy required to disassemble the nucleus into its constituent protons (represented by hydrogen atoms) and neutrons. The difference between the sum of the masses of the individual nucleons and the actual mass of the nucleus is converted into energy via Einstein's mass-energy equivalence. It's used to determine nuclear stability.,"Eq(E_b, Z*m_H + (A - Z)*m_n - M)"
Atomic and Nuclear Physics,Nuclear Reactions,Binding Energy (Mass Surplus Method),E_b = Z \Delta_{\mathbf{H}} + (A - Z) \Delta_n - \Delta,"$\Delta_{\mathbf{H}}, \Delta_n, \Delta$ are mass surpluses of a hydrogen atom, a neutron, and the given atom, respectively.","The binding energy of a nucleus is the sum of the mass surpluses of Z hydrogen atoms and A minus Z neutrons, minus the mass surplus of the actual atom.","This formula provides an alternative way to calculate the binding energy using mass surpluses (or mass defects). Mass surplus is the difference between the actual isotopic mass and its mass number in atomic mass units. This method is often more convenient in calculations as it uses readily available mass surplus data, which are typically smaller numbers than total masses, reducing numerical precision issues.","Eq(E_b, Z*Delta_H + (A - Z)*Delta_n - Delta)"
Atomic and Nuclear Physics,Nuclear Reactions,Nuclear Reaction Energy Balance,m + M \rightarrow M^* \rightarrow m' + M' + Q,"Describes a nuclear reaction where $m, M$ are initial rest masses, $m', M'$ are final rest masses, $M^*$ is the transitional nucleus, and $Q$ is the reaction energy. Other terms like $\widetilde{T}, \widetilde{T}', E^*, E, E', I, 2, 3$ are related kinetic energies, excitation energy, binding energies, and energy levels.","An incoming particle m reacts with a target nucleus M to form an excited transitional nucleus M-star, which then decays into product particles m-prime and M-prime, releasing energy Q.","This represents the general scheme of a nuclear reaction, illustrating the transformation of initial particles (reactant `m` and target `M`) into an intermediate excited compound nucleus (`M^*`), which then decays into final product particles (`m'` and `M'`) and releases or absorbs energy (`Q`). The SymPy formula represents the overall mass-energy balance, where `Q` is the reaction energy.","Eq(m*c**2 + M*c**2, m_prime*c**2 + M_prime*c**2 + Q)"
Atomic and Nuclear Physics,Nuclear Reactions,Threshold Kinetic Energy for Endoergic Reaction,T_{th} = \frac{m + M}{M} |Q|,"m and M are the masses of the incoming particle and the target nucleus, respectively.","The threshold kinetic energy is the sum of the incoming particle's mass and the target nucleus's mass, divided by the target nucleus's mass, multiplied by the absolute value of the reaction energy Q.","This formula calculates the minimum kinetic energy (`T_th`) an incoming particle must possess to initiate an endoergic (energy-absorbing, Q < 0) nuclear reaction. It's derived from conservation of momentum and energy in the center-of-mass frame and ensures that enough energy is available to overcome the energy deficit `|Q|` and provide kinetic energy to the products.","Eq(T_th, (m + M)/M*Abs(Q))"
Optics,Thermal Radiation. Quantum Nature of Light,Radiosity,M_{e}=\frac{c}{4} u,where $u$ is the space density of thermal radiation energy.,"Radiant exitance equals the speed of light divided by four, times the space density of thermal radiation energy.","This formula relates the radiant exitance (or radiosity) $M_e$ from a surface to the volumetric energy density $u$ of thermal radiation in the surrounding space. It's used to describe the total power radiated per unit area from a surface, assuming isotropic radiation.","Eq(Symbol('M_e'), Symbol('c')/4 * Symbol('u'))"
Optics,Thermal Radiation. Quantum Nature of Light,Wien's Formula (Spectral Energy Density),u_{\omega}=\omega^{3} F(\omega / T),"Part of Wien's law, describing spectral energy density.","The spectral energy density of radiation at a given angular frequency equals the angular frequency cubed, times a function of the ratio of angular frequency to temperature.","This is Wien's approximation for the spectral energy density of black-body radiation as a function of angular frequency $\omega$ and temperature $T$. It was an early attempt to describe the black-body spectrum, valid at high frequencies (short wavelengths), but it failed at low frequencies.","Eq(Symbol('u_omega'), Symbol('omega')**3 * Function('F')(Symbol('omega') / Symbol('T')))"
Optics,Thermal Radiation. Quantum Nature of Light,Wien's Displacement Law,T \lambda_{m}=b,where $\lambda_{m}$ is the wavelength corresponding to the maximum of the function $u_{\lambda}$.,Temperature times the peak wavelength equals Wien's displacement constant.,"This law states that the peak wavelength $\lambda_m$ of the emitted radiation from a black body is inversely proportional to its absolute temperature $T$. As an object gets hotter, the peak of its emitted radiation shifts to shorter wavelengths (higher frequencies), explaining why hot objects glow blue-white and cooler objects glow red.","Eq(Symbol('T') * Symbol('lambda_m'), Symbol('b'))"
Optics,Thermal Radiation. Quantum Nature of Light,Stefan-Boltzmann Law,M_{e}=\sigma T^{4},where $\sigma$ is the Stefan-Boltzmann constant.,Radiant exitance equals the Stefan-Boltzmann constant times the absolute temperature to the fourth power.,"This law describes the total power radiated per unit surface area of a black body across all wavelengths, which is directly proportional to the fourth power of its absolute temperature $T$. It's fundamental for calculating heat transfer by radiation.","Eq(Symbol('M_e'), Symbol('sigma') * Symbol('T')**4)"
